elapsed_s,event_type,robot_id,round,mineral_num,x,y
107.192,mineral_collect,0,1,1,164.62014770507812,82.22898864746094
120.592,mineral_collect,1,1,1,64.61773681640625,120.86907196044922
132.093,mineral_collect,0,1,2,155.75106811523438,91.62699890136719
132.492,mineral_collect,1,1,2,61.22527313232422,117.07429504394531
143.692,mineral_collect,0,1,3,157.89151000976562,96.99606323242188
148.8,mineral_collect,1,1,3,65.27032470703125,126.94781494140625
158.392,mineral_collect,1,1,4,63.95281982421875,130.37615966796875
186.592,mineral_collect,1,1,5,47.56105422973633,124.87873840332031
186.892,mineral_collect,0,1,4,163.7537841796875,82.22612762451172
210.592,mineral_collect,0,1,5,173.89891052246094,91.53352355957031
280.692,basecamp_return,1,1,,101.99163055419922,96.92759704589844
